codigo_ibge_6,municipio,uf,codigo_ibge_7,label
000000,Exterior,EX,0000000,Exterior/EX — IBGE 0000000
110001,Alta Floresta D'Oeste,RO,1100015,Alta Floresta D'Oeste/RO — IBGE 1100015
110002,Ariquemes,RO,1100023,Ariquemes/RO — IBGE 1100023
110003,Cabixi,RO,1100031,Cabixi/RO — IBGE 1100031
110004,Cacoal,RO,1100049,Cacoal/RO — IBGE 1100049
110005,Cerejeiras,RO,1100056,Cerejeiras/RO — IBGE 1100056
110006,Colorado do Oeste,RO,1100064,Colorado do Oeste/RO — IBGE 1100064
110007,Corumbiara,RO,1100072,Corumbiara/RO — IBGE 1100072
110008,Costa Marques,RO,1100080,Costa Marques/RO — IBGE 1100080
110009,Espigão D'Oeste,RO,1100098,Espigão D'Oeste/RO — IBGE 1100098
110010,Guajará-Mirim,RO,1100106,Guajará-Mirim/RO — IBGE 1100106
110011,Jaru,RO,1100114,Jaru/RO — IBGE 1100114
110012,Ji-Paraná,RO,1100122,Ji-Paraná/RO — IBGE 1100122
110013,Machadinho D'Oeste,RO,1100130,Machadinho D'Oeste/RO — IBGE 1100130
110014,Nova Brasilândia D'Oeste,RO,1100148,Nova Brasilândia D'Oeste/RO — IBGE 1100148
110015,Ouro Preto do Oeste,RO,1100155,Ouro Preto do Oeste/RO — IBGE 1100155
110018,Pimenta Bueno,RO,1100189,Pimenta Bueno/RO — IBGE 1100189
110020,Porto Velho,RO,1100205,Porto Velho/RO — IBGE 1100205
110025,Presidente Médici,RO,1100254,Presidente Médici/RO — IBGE 1100254
110026,Rio Crespo,RO,1100262,Rio Crespo/RO — IBGE 1100262
110028,Rolim de Moura,RO,1100288,Rolim de Moura/RO — IBGE 1100288
110029,Santa Luzia D'Oeste,RO,1100296,Santa Luzia D'Oeste/RO — IBGE 1100296
110030,Vilhena,RO,1100304,Vilhena/RO — IBGE 1100304
110032,São Miguel do Guaporé,RO,1100320,São Miguel do Guaporé/RO — IBGE 1100320
110033,Nova Mamoré,RO,1100338,Nova Mamoré/RO — IBGE 1100338
110034,Alvorada D'Oeste,RO,1100346,Alvorada D'Oeste/RO — IBGE 1100346
110037,Alto Alegre dos Parecis,RO,1100379,Alto Alegre dos Parecis/RO — IBGE 1100379
110040,Alto Paraíso,RO,1100403,Alto Paraíso/RO — IBGE 1100403
110045,Buritis,RO,1100452,Buritis/RO — IBGE 1100452
110050,Novo Horizonte do Oeste,RO,1100502,Novo Horizonte do Oeste/RO — IBGE 1100502
110060,Cacaulândia,RO,1100601,Cacaulândia/RO — IBGE 1100601
110070,Campo Novo de Rondônia,RO,1100700,Campo Novo de Rondônia/RO — IBGE 1100700
110080,Candeias do Jamari,RO,1100809,Candeias do Jamari/RO — IBGE 1100809
110090,Castanheiras,RO,1100908,Castanheiras/RO — IBGE 1100908
